STATIONID,LATITUDE,LONGITUDE
US10hitc003,40.2357,-100.7952
US10hitc004,40.0882,-100.7859
US10hitc005,40.1828,-101.0122
US10hitc006,40.2728,-100.938
US10hitc007,40.2241,-101.2674
US10hitc008,40.1829,-101.088
US10hitc010,40.2618,-101.2313
US10hitc011,40.1402,-101.2014
US10hitc012,40.1894,-101.2458
US10hitc013,40.0802,-101.2408
US10hitc014,40.1906,-100.8906
US10hitc015,40.2336,-100.967
US10hitc016,40.1697,-101.0091
US10hitc017,40.296,-101.0147
US10hitc018,40.0195,-100.8266
US10hitc019,40.1796,-101.012
US10hitc020,40.3353,-101.1509
US10hitc022,40.2556,-101.277
US10hitc024,40.2336,-100.8971
US10hitc028,40.2336,-100.8003
US10holt001,42.4604,-98.6583
US10holt002,42.4727,-98.8074
US10holt003,42.1165,-98.3411
US10holt004,42.5362,-98.9771
US10holt006,42.4656,-98.6328
US10holt007,42.3867,-98.339
US10holt008,42.4366,-98.4988
US10holt009,42.3993,-98.4178
US10holt010,42.1911,-98.6634
US10holt011,42.1751,-98.4855
US10holt012,42.1476,-99.1615
US10holt014,42.5767,-99.0083
US10holt015,42.6962,-98.6176
US10holt016,42.7174,-98.8847
US10holt018,42.7116,-98.5806
US10holt019,42.1637,-99.0519
US10holt022,42.6676,-98.9315
US10holt023,42.1327,-98.4374
US10holt024,42.7982,-98.6506
US10holt029,42.7098,-98.5693
US10hook001,42.0437,-101.0391
US10hook002,41.9258,-101.146
US10hook004,42.043,-101.0458
US10hook006,41.8745,-101.0929
US10hook007,42.162,-100.6148
US10hook008,42.0041,-100.985
US10howa001,41.2185,-98.4512
US10howa002,41.2915,-98.6149
US10howa003,41.0732,-98.7139
US10howa004,41.0902,-98.5014
US10howa005,41.122,-98.5533
US10howa007,41.3219,-98.3255
US10howa008,41.3219,-98.428
US10howa009,41.323,-98.7126
US10howa010,41.1063,-98.672
US10jeff001,40.0284,-96.9355
US10jeff002,40.082,-97.3306
US10jeff003,40.2669,-97.3169
US10jeff004,40.2049,-97.3243
US10jeff005,40.1518,-97.3339
US10jeff006,40.25,-97.217
US10jeff009,40.0599,-97.0435
US10jeff011,40.304,-96.9906
US10jeff012,40.3318,-96.9568
US10jeff013,40.1123,-96.9376
US10jeff014,40.3073,-97.3119
US10jeff016,40.1971,-96.9734
US10jeff018,40.1478,-97.0921
US10jeff019,40.3208,-97.1883
US10jeff020,40.1468,-97.1524
US10jeff021,40.3296,-97.1982
US10jeff023,40.2335,-97.0303
US10jeff025,40.31,-96.9543
US10john001,40.3776,-96.1679
US10john002,40.4644,-96.2337
US10john003,40.2912,-96.1986
US10john004,40.3428,-96.1039
US10john005,40.4431,-96.3216
US10john006,40.3779,-96.0707
US10john007,40.4799,-96.1068
US10john008,40.3026,-96.4185
US10john009,40.4471,-96.4384
US10john010,40.3726,-96.1795
US10john012,40.4239,-96.2904
US10john013,40.2914,-96.2829
US10john014,40.4618,-96.3787
US10john015,40.3777,-96.3155
US10john016,40.3348,-96.2326
US10john017,40.4168,-96.3687
US10john020,40.5124,-96.3892
US10john021,40.3123,-96.146
US10kear002,40.5178,-98.7817
US10kear003,40.5828,-98.8472
US10kear004,40.5516,-98.997
US10kear005,40.3622,-99.1735
US10kear006,40.4968,-98.9416
US10kear008,40.4759,-99.0851
US10kear009,40.351,-99.0469
US10kear011,40.4877,-98.9526
US10kear012,40.4368,-98.7998
US10kear013,40.4246,-99.0675
US10kear014,40.3981,-98.7991
US10kear015,40.5011,-98.9488
US10kear016,40.4989,-98.9696
US10kear018,40.4997,-98.837
US10kear019,40.4809,-98.8945
US10keit001,41.2012,-101.665
US10keit002,41.0622,-101.427
US10keit003,41.2084,-101.7673
US10keit004,41.0691,-101.5807
US10keit005,41.1842,-101.3396
US10keit006,41.2844,-101.3469
US10keit007,41.0945,-101.884
US10keit008,41.1234,-101.7512
US10keit009,41.1112,-101.6527
US10keit011,41.2386,-101.8566
US10keit013,41.1089,-101.8264
US10keit014,41.1638,-101.3071
US10keit015,41.1361,-101.719
US10keit018,41.2119,-101.8374
US10keit019,41.0991,-101.2871
US10keit020,41.0171,-101.3722
US10keit025,41.1282,-101.4735
US10keya001,42.9584,-100.0216
US10keya002,42.9838,-100.1711
US10keya003,42.943,-99.9812
US10keya004,42.9078,-100.0956
US10kimb001,41.229,-103.6492
US10kimb002,41.2375,-103.6662
US10kimb003,41.22,-103.77
US10kimb004,41.2366,-103.4867
US10kimb005,41.0482,-103.5079
US10kimb007,41.2564,-103.6063
US10kimb008,41.2341,-103.7263
US10kimb009,41.3382,-103.7327
US10kimb010,41.3113,-103.7822
US10kimb013,41.2894,-103.5118
US10kimb014,41.2996,-103.5903
US10kimb015,41.1306,-103.3957
US10kimb021,41.2296,-103.8541
US10kimb023,41.0622,-103.7745
US10kimb028,41.2314,-103.8338
US10knox001,42.531,-98.0989
US10knox003,42.525,-97.5736
US10knox004,42.7382,-97.4985
US10knox005,42.5999,-97.6445
US10knox006,42.8198,-97.7152
US10knox007,42.6575,-98.2502
US10knox008,42.45,-98.15
US10knox009,42.5981,-98.0318
US10knox010,42.7037,-98.2092
US10knox011,42.6281,-98.0855
US10knox012,42.7186,-97.7594
US10knox013,42.4448,-98.1372
US10knox014,42.4672,-97.7639
US10knox015,42.564,-98.27
US10knox016,42.7277,-97.7924
US10knox017,42.8309,-97.5234
US10knox018,42.7661,-97.5637
US10knox019,42.7273,-97.5044
US10lanc001,40.7633,-96.6833
US10lanc005,40.8382,-96.5899
US10lanc006,40.8081,-96.643
US10lanc007,41.0032,-96.6763
US10lanc009,40.7352,-96.6498
US10lanc011,40.7504,-96.6128
US10lanc012,40.7544,-96.7611
US10lanc013,40.8416,-96.5141
US10lanc014,40.5529,-96.5009
US10lanc015,40.5847,-96.4922
US10lanc016,40.9502,-96.8007
US10lanc017,40.6667,-96.5067
US10lanc018,40.829,-96.6711
US10lanc019,40.7845,-96.6156
US10lanc022,40.6974,-96.6855
US10lanc024,40.7733,-96.6712
US10lanc025,40.86,-96.69
US10lanc027,40.838,-96.6085
US10lanc029,40.6166,-96.5595
US10lanc030,40.7887,-96.6927
US10lanc031,40.9192,-96.536
US10lanc033,40.8381,-96.7859
US10lanc034,40.7466,-96.6568
US10lanc039,40.9034,-96.7122
US10lanc040,40.8011,-96.6106
US10lanc041,40.7923,-96.6923
US10lanc042,40.8462,-96.7086
US10lanc043,40.779,-96.6473
US10lanc047,40.7773,-96.733
US10lanc049,40.7392,-96.6529
US10lanc050,40.7988,-96.6969
US10lanc052,40.6519,-96.6271
US10lanc066,40.6934,-96.4893
US10lanc067,40.7889,-96.7413
US10lanc068,41.0211,-96.848
